Feature,Logistic_Regression,Decision_Tree,Random_Forest,Average_Importance,Rank_Avg,Rank_LR,Rank_DT,Rank_RF,Cross_Model_Variance
Glucose_BMI_Interaction,0.9576425958435423,1.0,1.0,0.9858808652811808,1,2,1,1,0.0005980498956245007
Glucose,1.0,0.19145859781256377,0.7524220492710749,0.6479602156945462,2,1,2,2,0.17161900576843414
BMI,0.5509118332747064,0.08331127403915373,0.400157624861772,0.3447935773918774,3,3,5,3,0.056961454063536955
Pregnancies,0.46901869780837135,0.11401110505095509,0.1709815182104755,0.25133710702326734,4,4,3,7,0.036350363218941736
DiabetesPedigreeFunction,0.3820606599801549,0.028698443583707288,0.30134562326005243,0.23736824227463824,5,5,7,5,0.0342860429524671
Age,0.01786066027326623,0.10421729514971662,0.3598430794603297,0.16064034496110416,6,10,4,4,0.03162566417077284
Age_Group,0.29085752084600713,0.0,0.14863352707145605,0.14649701597248774,7,6,9,9,0.02115294786792838
SkinThickness,0.24631455301923214,0.0,0.16381733912150387,0.13671063071357867,8,7,9,8,0.015718794987800242
Insulin,0.07752550251721724,0.05954854336216297,0.20226303829069045,0.11311236139002356,9,8,6,6,0.006041675159000949
BloodPressure,0.07720056798128266,0.0,0.14171129373105562,0.07297062057077942,10,9,9,10,0.0050339420340540985
